STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
HWE,M,15,STORAGE,2008-01-01 00:00,2008-01-01 00:00,"29,820",,AF
HWE,M,15,STORAGE,2008-02-01 00:00,2008-02-01 00:00,"29,580",,AF
HWE,M,15,STORAGE,2008-03-01 00:00,2008-03-01 00:00,"30,560",,AF
HWE,M,15,STORAGE,2008-04-01 00:00,2008-04-01 00:00,"24,320",,AF
HWE,M,15,STORAGE,2008-05-01 00:00,2008-05-01 00:00,"21,080",,AF
HWE,M,15,STORAGE,2008-06-01 00:00,2008-06-01 00:00,"26,990",,AF
HWE,M,15,STORAGE,2008-07-01 00:00,2008-07-01 00:00,"27,720",,AF
HWE,M,15,STORAGE,2008-08-01 00:00,2008-08-01 00:00,"22,030",,AF
HWE,M,15,STORAGE,2008-09-01 00:00,2008-09-01 00:00,"19,330",,AF
HWE,M,15,STORAGE,2008-10-01 00:00,2008-10-01 00:00,"19,670",r,AF
HWE,M,15,STORAGE,2008-11-01 00:00,2008-11-01 00:00,"25,530",,AF
HWE,M,15,STORAGE,2008-12-01 00:00,2008-12-01 00:00,"27,130",,AF
HWE,M,15,STORAGE,2009-01-01 00:00,2009-01-01 00:00,"28,930",,AF
HWE,M,15,STORAGE,2009-02-01 00:00,2009-02-01 00:00,"32,320",,AF
HWE,M,15,STORAGE,2009-03-01 00:00,2009-03-01 00:00,"32,070",,AF
HWE,M,15,STORAGE,2009-04-01 00:00,2009-04-01 00:00,"32,620",,AF
HWE,M,15,STORAGE,2009-05-01 00:00,2009-05-01 00:00,"32,650",,AF
HWE,M,15,STORAGE,2009-06-01 00:00,2009-06-01 00:00,"33,510",,AF
HWE,M,15,STORAGE,2009-07-01 00:00,2009-07-01 00:00,"33,470",,AF
HWE,M,15,STORAGE,2009-08-01 00:00,2009-08-01 00:00,"24,370",,AF
HWE,M,15,STORAGE,2009-09-01 00:00,2009-09-01 00:00,"23,320",,AF
HWE,M,15,STORAGE,2009-10-01 00:00,2009-10-01 00:00,"24,890",,AF
HWE,M,15,STORAGE,2009-11-01 00:00,2009-11-01 00:00,"27,670",,AF
HWE,M,15,STORAGE,2009-12-01 00:00,2009-12-01 00:00,"32,360",,AF
HWE,M,15,STORAGE,2010-01-01 00:00,2010-01-01 00:00,"33,390",,AF
HWE,M,15,STORAGE,2010-02-01 00:00,2010-02-01 00:00,"30,511",,AF
HWE,M,15,STORAGE,2010-03-01 00:00,2010-03-01 00:00,"34,060",r,AF
HWE,M,15,STORAGE,2010-04-01 00:00,2010-04-01 00:00,"31,600",,AF
HWE,M,15,STORAGE,2010-05-01 00:00,2010-05-01 00:00,"26,870",,AF
HWE,M,15,STORAGE,2010-06-01 00:00,2010-06-01 00:00,"26,500",,AF
HWE,M,15,STORAGE,2010-07-01 00:00,2010-07-01 00:00,"33,020",,AF
HWE,M,15,STORAGE,2010-08-01 00:00,2010-08-01 00:00,"22,850",,AF
HWE,M,15,STORAGE,2010-09-01 00:00,2010-09-01 00:00,"22,940",,AF
HWE,M,15,STORAGE,2010-10-01 00:00,2010-10-01 00:00,"25,180",,AF
HWE,M,15,STORAGE,2010-11-01 00:00,2010-11-01 00:00,"37,814",,AF
HWE,M,15,STORAGE,2010-12-01 00:00,2010-12-01 00:00,"36,660",,AF
HWE,M,15,STORAGE,2011-01-01 00:00,2011-01-01 00:00,"34,470",,AF
HWE,M,15,STORAGE,2011-02-01 00:00,2011-02-01 00:00,"32,670",,AF
HWE,M,15,STORAGE,2011-03-01 00:00,2011-03-01 00:00,"29,570",,AF
HWE,M,15,STORAGE,2011-04-01 00:00,2011-04-01 00:00,"27,890",,AF
HWE,M,15,STORAGE,2011-05-01 00:00,2011-05-01 00:00,"26,368",,AF
HWE,M,15,STORAGE,2011-06-01 00:00,2011-06-01 00:00,"25,777",,AF
HWE,M,15,STORAGE,2011-07-01 00:00,2011-07-01 00:00,"20,221",,AF
HWE,M,15,STORAGE,2011-08-01 00:00,2011-08-01 00:00,"28,916",r,AF
HWE,M,15,STORAGE,2011-09-01 00:00,2011-09-01 00:00,"22,025",,AF
HWE,M,15,STORAGE,2011-10-01 00:00,2011-10-01 00:00,"25,159",r,AF
HWE,M,15,STORAGE,2011-11-01 00:00,2011-11-01 00:00,"34,298",,AF
HWE,M,15,STORAGE,2011-12-01 00:00,2011-12-01 00:00,"33,302",,AF
HWE,M,15,STORAGE,2012-01-01 00:00,2012-01-01 00:00,"33,072",,AF
HWE,M,15,STORAGE,2012-02-01 00:00,2012-02-01 00:00,"29,124",,AF
HWE,M,15,STORAGE,2012-03-01 00:00,2012-03-01 00:00,"25,388",,AF
HWE,M,15,STORAGE,2012-04-01 00:00,2012-04-01 00:00,"29,769",r,AF
HWE,M,15,STORAGE,2012-05-01 00:00,2012-05-01 00:00,"30,315",,AF
HWE,M,15,STORAGE,2012-06-01 00:00,2012-06-01 00:00,"27,880",,AF
HWE,M,15,STORAGE,2012-07-01 00:00,2012-07-01 00:00,"25,616",,AF
HWE,M,15,STORAGE,2012-08-01 00:00,2012-08-01 00:00,"23,880",,AF
HWE,M,15,STORAGE,2012-09-01 00:00,2012-09-01 00:00,"20,188",,AF
HWE,M,15,STORAGE,2012-10-01 00:00,2012-10-01 00:00,"28,030",,AF
HWE,M,15,STORAGE,2012-11-01 00:00,2012-11-01 00:00,"37,119",,AF
HWE,M,15,STORAGE,2012-12-01 00:00,2012-12-01 00:00,"23,574",,AF
HWE,M,15,STORAGE,2013-01-01 00:00,2013-01-01 00:00,"25,234",,AF
HWE,M,15,STORAGE,2013-02-01 00:00,2013-02-01 00:00,"27,710",,AF
HWE,M,15,STORAGE,2013-03-01 00:00,2013-03-01 00:00,"29,411",,AF
HWE,M,15,STORAGE,2013-04-01 00:00,2013-04-01 00:00,"33,042",,AF
HWE,M,15,STORAGE,2013-05-01 00:00,2013-05-01 00:00,"35,103",,AF
HWE,M,15,STORAGE,2013-06-01 00:00,2013-06-01 00:00,"35,120",,AF
HWE,M,15,STORAGE,2013-07-01 00:00,2013-07-01 00:00,"35,430",,AF
HWE,M,15,STORAGE,2013-08-01 00:00,2013-08-01 00:00,"34,145",,AF
HWE,M,15,STORAGE,2013-09-01 00:00,2013-09-01 00:00,"29,834",,AF
HWE,M,15,STORAGE,2013-10-01 00:00,2013-10-01 00:00,"21,525",,AF
HWE,M,15,STORAGE,2013-11-01 00:00,2013-11-01 00:00,"22,532",,AF
HWE,M,15,STORAGE,2013-12-01 00:00,2013-12-01 00:00,"27,202",,AF
HWE,M,15,STORAGE,2014-01-01 00:00,2014-01-01 00:00,"28,250",,AF
HWE,M,15,STORAGE,2014-02-01 00:00,2014-02-01 00:00,"30,364",,AF
HWE,M,15,STORAGE,2014-03-01 00:00,2014-03-01 00:00,"35,864",,AF
HWE,M,15,STORAGE,2014-04-01 00:00,2014-04-01 00:00,"35,411",,AF
HWE,M,15,STORAGE,2014-05-01 00:00,2014-05-01 00:00,"33,065",,AF
HWE,M,15,STORAGE,2014-06-01 00:00,2014-06-01 00:00,"35,667",,AF
HWE,M,15,STORAGE,2014-07-01 00:00,2014-07-01 00:00,"33,367",,AF
HWE,M,15,STORAGE,2014-08-01 00:00,2014-08-01 00:00,"27,559",,AF
HWE,M,15,STORAGE,2014-09-01 00:00,2014-09-01 00:00,"21,385",,AF
HWE,M,15,STORAGE,2014-10-01 00:00,2014-10-01 00:00,"20,049",,AF
HWE,M,15,STORAGE,2014-11-01 00:00,2014-11-01 00:00,"22,718",,AF
HWE,M,15,STORAGE,2014-12-01 00:00,2014-12-01 00:00,"27,631",,AF
