STATION_ID,Year,VALUE,Elevation,Latitude,Longitude,Basin #,Basin Name,Area,Volume
BDG,2002,0.01648883333333333,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,69616.67800002483
BDG,2003,0.020425833333333334,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,86238.88866498583
BDG,2004,0.018923000000000002,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,79893.851260619
BDG,2005,0.03335866666666666,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,140841.95703214264
BDG,2006,0.023008166666666666,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,97141.62899361616
BDG,2007,0.018690166666666667,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,78910.81729656216
BDG,2008,0.023516166666666664,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,99286.43036974015
BDG,2009,0.020235333333333334,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,85434.58814893934
BDG,2010,0.03126316666666666,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,131994.65135563113
BDG,2011,0.015896166666666666,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,67114.40972788016
BDG,2012,0.0256032,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,108097.98935664959
BDG,2013,0.00889,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,37534.02408217
BDG,2014,0.01957916666666667,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,82664.21970477917
BDG,2015,0.015929428571428574,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,67254.84315131686
BDG,2016,0.025865666666666665,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,109206.13673431365
BDG,2017,0.044380727272727266,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,187377.64749592397
BDG,2018,0.014986,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,63271.64059565799
BDG,2019,0.025950333333333332,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,109563.60363033433
BDG,2020,0.013610166666666665,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,57462.80353532216
BDG,2021,0.028024666666666663,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,118321.54258284064
BDG,2022,0.016171333333333333,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,68276.17713994732
BDG,2023,0.030226000000000003,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,127615.68187937801
BDG,2024,0.027855333333333333,6470,38.25,-119.233,10801,WALKER RIVER,4222049.953,117606.60879079932
BIS,1949,0.008636,4140,37.35,-118.4,11001,OWENS RIVER,1748154525.0,15097062.477899998
BIS,1950,0.011112499999999999,4140,37.35,-118.4,11001,OWENS RIVER,1748154525.0,19426367.159062497
BIS,1951,0.013610166666666665,4140,37.35,-118.4,11001,OWENS RIVER,1748154525.0,23792674.444337495
BIS,1952,0.021378333333333333,4140,37.35,-118.4,11001,OWENS RIVER,1748154525.0,37372630.153625
BIS,1953,0.005461,4140,37.35,-118.4,11001,OWENS RIVER,1748154525.0,9546671.861025
BIS,1954,0.015218833333333332,4140,37.35,-118.4,11001,OWENS RIVER,1748154525.0,26604872.356887497
BIS,1955,0.01651,4140,37.35,-118.4,11001,OWENS RIVER,1748154525.0,28862031.20775
BIS,1956,0.009757833333333334,4140,37.35,-118.4,11001,OWENS RIVER,1748154525.0,17058200.4958625
BIS,1957,0.0141605,4140,37.35,-118.4,11001,OWENS RIVER,1748154525.0,24754742.1512625
